,lat,lon,ref,name,description,gbfs:name,gbfs:station_id,capacity,amenity,brand,brand:ja,brand:wikidata,brand:website,gbfs:system_id,authentication:app,fee,lat_label,lon_label
688,37.91939,139.04364,11,古町５番町自転車駐車場,,11.古町５番町自転車駐車場,945,10,bicycle_rental,Docomo Bike Share,ドコモ・バイクシェア,Q55533296,https://docomo-cycle.jp/,docomo-cycle,yes,yes,2,1
689,37.91764,139.04196,12,上古町自転車駐車場,,12.上古町自転車駐車場,946,10,bicycle_rental,Docomo Bike Share,ドコモ・バイクシェア,Q55533296,https://docomo-cycle.jp/,docomo-cycle,yes,yes,2,1
690,37.91568,139.03665,13,新潟市役所,,13.新潟市役所,947,12,bicycle_rental,Docomo Bike Share,ドコモ・バイクシェア,Q55533296,https://docomo-cycle.jp/,docomo-cycle,yes,yes,2,1
691,37.91798,139.05896,14,ANAクラウンプラザホテル新潟,,14.ANAクラウンプラザホテル新潟,948,8,bicycle_rental,Docomo Bike Share,ドコモ・バイクシェア,Q55533296,https://docomo-cycle.jp/,docomo-cycle,yes,yes,2,1
692,37.92368,139.06211,15,ピアBandai,,15.ピアBandai,949,11,bicycle_rental,Docomo Bike Share,ドコモ・バイクシェア,Q55533296,https://docomo-cycle.jp/,docomo-cycle,yes,yes,2,1
693,37.9242,139.05958,16,大かま,,16.大かま,951,30,bicycle_rental,Docomo Bike Share,ドコモ・バイクシェア,Q55533296,https://docomo-cycle.jp/,docomo-cycle,yes,yes,2,1
694,37.9296,139.0622,17,佐渡汽船,,17.佐渡汽船,952,11,bicycle_rental,Docomo Bike Share,ドコモ・バイクシェア,Q55533296,https://docomo-cycle.jp/,docomo-cycle,yes,yes,2,1
695,37.91757,139.05644,19,LoveLa Bandai,,19.LoveLa Bandai,953,20,bicycle_rental,Docomo Bike Share,ドコモ・バイクシェア,Q55533296,https://docomo-cycle.jp/,docomo-cycle,yes,yes,2,1
696,37.91123,139.06252,20,新潟駅南口広場,,20.新潟駅南口広場,954,16,bicycle_rental,Docomo Bike Share,ドコモ・バイクシェア,Q55533296,https://docomo-cycle.jp/,docomo-cycle,yes,yes,2,1
697,37.91213,139.03041,22,白山駅前広場,,22.白山駅前広場,955,16,bicycle_rental,Docomo Bike Share,ドコモ・バイクシェア,Q55533296,https://docomo-cycle.jp/,docomo-cycle,yes,yes,2,1
698,37.92235,139.05112,23,クロスパルにいがた,,23.クロスパルにいがた,956,8,bicycle_rental,Docomo Bike Share,ドコモ・バイクシェア,Q55533296,https://docomo-cycle.jp/,docomo-cycle,yes,yes,2,1
699,37.92219,139.04414,24,古町ルフル,,24.古町ルフル,957,8,bicycle_rental,Docomo Bike Share,ドコモ・バイクシェア,Q55533296,https://docomo-cycle.jp/,docomo-cycle,yes,yes,2,1
